year,nature_of_employment,industry1,industry2,industry3,total_paid_hours,standard_hours,overtime_paid_hours
1990,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",48.2,43.4,4.8
1990,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",28.4,28.1,0.3
1990,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,50.3,43.9,6.4
1990,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,22.7,22.5,0.3
1990,full-time,manufacturing,paper products and publishing,paper products and publishing,49.6,42.9,6.7
1990,part-time,manufacturing,paper products and publishing,paper products and publishing,22.6,22.4,0.2
1990,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.3,42.9,5.3
1990,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,25.8,24.9,0.9
1990,full-time,manufacturing,rubber and plastic products,rubber and plastic products,49.8,43.5,6.3
1990,part-time,manufacturing,rubber and plastic products,rubber and plastic products,22.9,22.2,0.8
1990,full-time,manufacturing,fabricated metal products,fabricated metal products,50.9,43.6,7.3
1990,part-time,manufacturing,fabricated metal products,fabricated metal products,23.6,22.9,0.7
1990,full-time,manufacturing,machinery and equipment,machinery and equipment,50.7,43.5,7.2
1990,part-time,manufacturing,machinery and equipment,machinery and equipment,22,21.7,0.3
1990,full-time,manufacturing,electrical products,electrical products,48.5,43.7,4.9
1990,part-time,manufacturing,electrical products,electrical products,26.9,25.6,1.3
1990,full-time,manufacturing,electronic products,electronic products,47.4,42.3,5.1
1990,part-time,manufacturing,electronic products,electronic products,22.3,21.3,1.1
1990,full-time,manufacturing,medical and precision instruments,medical and precision instruments,46.5,42.6,3.9
1990,part-time,manufacturing,medical and precision instruments,medical and precision instruments,22.2,20.6,1.6
1990,full-time,manufacturing,transport equipment,transport equipment,52.8,43.7,9.1
1990,part-time,manufacturing,transport equipment,transport equipment,22.6,22.3,0.3
1990,full-time,manufacturing,other manufacturing industries,other manufacturing industries,50.1,43.7,6.3
1990,part-time,manufacturing,other manufacturing industries,other manufacturing industries,22.9,22.6,0.3
1990,full-time,construction,construction,construction,50.1,44.6,5.5
1990,part-time,construction,construction,construction,22.2,21.9,0.2
1990,full-time,services,wholesale and retail trade,wholesale trade,44.2,42.3,2
1990,part-time,services,wholesale and retail trade,wholesale trade,23.8,21.7,2.1
1990,full-time,services,wholesale and retail trade,retail trade,46,43.3,2.6
1990,part-time,services,wholesale and retail trade,retail trade,24.3,24,0.2
1990,full-time,services,hotels and restaurants,hotels,45.3,43.5,1.8
1990,part-time,services,hotels and restaurants,hotels,22,21.7,0.3
1990,full-time,services,hotels and restaurants,restaurants,45.6,44.5,1
1990,part-time,services,hotels and restaurants,restaurants,21.2,20.9,0.3
1990,full-time,services,"transport, storage and communications","transport, storage and communications",47.8,43.1,4.7
1990,part-time,services,"transport, storage and communications","transport, storage and communications",26.7,24.8,1.9
1990,full-time,services,financial intermediation,financial institutions,44.5,42.7,1.8
1990,part-time,services,financial intermediation,financial institutions,25.6,24.3,1.3
1990,full-time,services,financial intermediation,insurance and pension funding,40.9,39.6,1.3
1990,part-time,services,financial intermediation,insurance and pension funding,28.5,28.4,0.1
1990,full-time,services,business and real estate services,business and real estate services,45.9,42.4,3.5
1990,part-time,services,business and real estate services,business and real estate services,29.7,28.2,1.6
1990,full-time,services,"community, social and personal services","community, social and personal services",43,41.8,1.2
1990,part-time,services,"community, social and personal services","community, social and personal services",25.7,25.4,0.3
1990,full-time,others,others,others,48.5,44.2,4.3
1990,part-time,others,others,others,25.5,25.5,-
1991,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.8,43.4,4.4
1991,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",26.9,26.8,0.1
1991,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,50.5,43.9,6.7
1991,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,22.6,22.2,0.4
1991,full-time,manufacturing,paper products and publishing,paper products and publishing,49.6,42.9,6.7
1991,part-time,manufacturing,paper products and publishing,paper products and publishing,21.9,21.7,0.2
1991,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.3,42.9,5.5
1991,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,26.2,25.1,1.1
1991,full-time,manufacturing,rubber and plastic products,rubber and plastic products,49.9,43.5,6.5
1991,part-time,manufacturing,rubber and plastic products,rubber and plastic products,24.3,23.2,1.1
1991,full-time,manufacturing,fabricated metal products,fabricated metal products,50.8,43.7,7.1
1991,part-time,manufacturing,fabricated metal products,fabricated metal products,22.4,21.8,0.7
1991,full-time,manufacturing,machinery and equipment,machinery and equipment,50.2,43.5,6.7
1991,part-time,manufacturing,machinery and equipment,machinery and equipment,22.1,21.5,0.6
1991,full-time,manufacturing,electrical products,electrical products,49.2,43.5,5.7
1991,part-time,manufacturing,electrical products,electrical products,24.5,22.8,1.7
1991,full-time,manufacturing,electronic products,electronic products,47.4,42.4,5
1991,part-time,manufacturing,electronic products,electronic products,21.8,21,0.8
1991,full-time,manufacturing,medical and precision instruments,medical and precision instruments,46.7,42.8,3.9
1991,part-time,manufacturing,medical and precision instruments,medical and precision instruments,21.9,21.2,0.8
1991,full-time,manufacturing,transport equipment,transport equipment,53.2,44,9.2
